date,latitude,longitude,depth,mag,id
20150101,38.3646667,-122.6068333,7.067,3,nc72373706
20150101,36.8137,-97.71,3.2,3.6,usc000tb5s
20150101,41.8576,-119.6494,9.2,3.1,nn00474756
20150101,36.929,-97.4929,6.535,3.1,usc000tb51
20150101,36.6558,-97.6348,5.319,3,usc000tb61
20150102,43.6818,-105.3125,0,3.4,usc000tbcc
20150102,36.2859,-96.8989,4.005,3,usc000tbar
20150102,36.7301,-98.3055,5.566,3.1,usc000tb8y
20150102,36.8885,-98.2399,6.652,3.1,usc000tb7g
20150103,44.4448,-114.137,12.6,3.3,usc000tbjd
20150103,43.7666,-105.2994,0,3.4,usc000tbh3
20150103,44.4441,-114.1375,12.3,3,usc000tcae
20150103,44.4576,-114.15,11.7,3,usc000thm4
20150103,44.4435,-114.1451,12.8,3.1,usc000thm2
20150103,44.4465,-114.1431,13.5,3.3,usc000tbiv
20150103,36.853,-98.2769,6.269,3,usc000tbgq
20150103,44.4455,-114.144,13.8,3.1,usc000thlv
20150103,44.5074,-114.112,8.5,5,usc000tbfq
20150103,36.6592,-97.6265,5,3.4,usc000tbfj
20150103,39.8105,-123.4813333,8.156,3.27,nc72374656
20150103,36.8466,-97.8137,6.076,3.4,usc000tbeh
20150104,35.8196,-97.4362,6.604,3.6,usc000tbnt
20150104,41.8825,-119.6389,10.4,3.9,nn00475344
20150104,44.4777,-114.1742,6.12,3.7,usc000tblx
20150104,37.2454,-98.0233,4.87,3.5,usc000tblj
20150104,44.464,-114.1671,11.5,3.8,usc000tbl0
20150104,41.8841,-119.6294,8.9,4.1,nn00481243
20150104,41.8986,-119.6412,11.6,3.3,nn00475225
20150104,41.8846,-119.6399,10.3,3.1,nn00475208
20150104,44.4793,-114.1761,10.5,3.8,usc000tbk8
20150104,41.9069,-119.6541,5.4,3.1,nn00475188
20150104,44.445,-114.1493,10.9,3.6,usc000tbk2
20150104,41.8917,-119.6472,10.1,3.4,nn00475168
20150104,34.6173333,-118.6301667,7.821,4.25,ci37301704
20150104,34.6101667,-118.6355,8.348,3.03,ci37301696
20150104,44.4566,-114.1648,12.4,3,usc000tbiw
20150104,44.4483,-114.1421,11.7,3.5,usc000thm7
20150105,41.8676,-119.6378,9.3,3,nn00475559
20150105,36.2603,-97.2616,4.356,3.6,usc000tbzv
20150105,36.2611,-97.2623,5,3.6,usc000tbz7
20150105,44.0458,-105.1621,0,3.2,usc000th5n
20150105,41.8744,-119.6204,8.2,3.2,nn00475455
20150105,41.8852,-119.641,9.8,3.7,nn00475453
20150105,36.7453,-98.1112,6.522,3.1,usc000tbtx
20150105,37.0214,-98.0891,5,3,usc000tbtr
20150105,36.7411,-98.1117,6.598,3.5,usc000tbtm
20150105,41.8698,-119.6366,7.9,3.7,nn00475380
20150106,36.6932,-97.6764,4.809,3,usc000tca3
20150106,32.8662,-100.8647,3.95,3.5,usc000tc8i
20150106,32.835,-96.9027,5.93,3.5,usc000tc7z
20150106,36.2592,-97.2609,5.572,3.1,usc000tcdu
20150106,38.8523,-116.173,0,3.1,nn00475665
20150106,36.2591,-97.26,5.456,3.1,usc000tc5b
20150106,41.8959,-119.6459,10.4,3.4,nn00475643
20150106,38.4395,-119.2588333,8.88,3.19,nc72376166
20150107,35.8173,-97.4291,6.933,3.8,usc000tcfw
20150107,32.8417,-96.9131,5,3.1,usc000tcc6
20150107,41.8744,-119.6403,8.1,3.1,nn00475803
20150107,32.847,-96.8922,5,3.6,usc000tca7
20150107,36.8765,-104.751,4.33,3.7,usc000tca2
20150108,36.5852,-98.4708,5,3,usc000te2u
20150108,43.8161,-105.2778,0,3.5,usc000tdan
20150108,41.864,-119.6297,8.6,3,nn00476014
20150108,41.8802,-119.6368,8.7,3.3,nn00475994
20150108,36.8723,-98.1351,7.034,3,usc000td1l
20150109,43.8356,-105.235,0,3.5,usc000te9v
20150109,43.8107,-105.1357,0,3.4,usc000te9q
20150109,36.2886,-96.8926,4.898,3.3,usc000te6x
20150109,36.2842,-96.9784,5.284,3.5,usc000te6q
20150109,35.8159,-97.4212,7.452,3.1,usc000te67
20150109,35.8143,-97.418,6.593,3.5,usc000te4p
20150110,44.4513,-114.1256,13,3.6,usc000tel7
20150110,47.7971667,-124.7316667,23.057,3.04,uw60946547
20150110,37.1703,-97.9438,5,3.2,usc000tei4
20150110,36.23,-97.57,5,3.2,usc000tegk
20150110,41.8849,-119.634,9.1,3,nn00476404
20150110,36.9163,-97.7994,3.081,3,usc000teff
20150110,36.2699,-97.2469,5.329,3.2,usc000tef6
20150110,36.2627,-97.2732,4.949,3.1,usc000tef0
20150110,35.8136,-97.4153,7.063,3,usc000teeu
20150110,44.4526,-114.1101,9.7,3,usc000teec
20150110,44.4551,-114.1098,10.2,3.8,usc000teea
20150111,43.8281,-105.2608,0,3.3,usc000tenl
20150111,43.6254,-105.2768,0,3.2,usc000tene
20150111,43.7995,-105.2439,0,3.2,usc000tena
20150111,35.805,-97.4063,6.686,3.4,usc000temr
20150112,41.7482,-71.9019,5.4,3.3,usc000tesx
20150113,36.8175,-97.7066,5.5,3.6,usc000tf5f
20150113,41.8921,-119.6342,9.6,3,nn00476895
20150113,41.9058,-119.6261,7.3,3.1,nn00476861
20150113,41.8694,-119.6372,7.6,3.6,nn00476837
20150113,41.8791,-119.6235,9.4,3.8,nn00476835
20150113,41.8913,-119.655,10.8,3.3,nn00477560
20150113,41.852,-119.6876667,0.02,3.24,uw60104308
20150113,41.9015,-119.6246,8.3,3,nn00476828
20150113,35.8755,-97.2394,6.577,3.1,usc000tf2l
20150114,43.7743,-105.2983,0,3.2,usc000tfwu
20150114,35.8765,-97.2447,5.269,3,usc000tfrx
20150114,40.3195,-124.6121667,16.159,4.28,nc72381011
20150114,36.7276,-98.3125,4.915,3.3,usc000tfit
20150114,36.3318,-97.516,7.158,3.1,usc000tfhw
20150114,36.7537,-97.5552,5,3.1,usc000tfh9
20150114,35.8085,-97.4146,6.712,3,usc000tfh3
20150115,43.8341,-105.2766,0,3.2,usc000tj48
20150115,44.4435,-114.146,12,3.2,usb000tina
20150115,44.4375,-114.118,12.6,3.5,usc000tg7k
20150115,36.9524,-97.6149,5.049,3.6,usc000tg6m
20150115,36.715,-97.8734,5.58,3.1,usc000tfyn
20150115,36.3294,-97.5209,7.045,3.3,usc000tfyh
20150115,36.9518,-97.6158,5,3,usc000tfyb
20150116,36.6032,-97.6125,5.645,3.4,usc000tgmg
20150116,43.8108,-105.3711,0,3.3,usc000tgk3
20150116,41.9032,-119.6358,7.5,3,nn00477529
20150116,43.5653,-105.3244,0,3.3,usc000tgj8
20150116,36.4888,-99.0853,7.684,3.1,usc000tgdp
20150116,49.4297,-66.7949,18,4.1,usc000tgdg
20150116,36.9377,-97.9071,4.546,3,usc000tgce
20150116,35.8155,-97.4399,6,3.1,usc000tgbn
20150117,34.9487,-113.2383,11.71,3.1,usc000tgv7
20150117,35.8936,-97.2665,6.898,3.2,usc000tgv8
20150117,36.2888,-96.8061,5,3.1,usc000tgs3
20150117,43.6308,-105.3182,0,3.2,usb000timx
20150117,36.603,-98.2171,5,3.4,usc000tgpe
20150117,36.93,-98.0313,5,3.2,usc000tgns
20150118,36.9745,-97.8559,5,3.1,usc000th1l
20150118,36.7234,-97.8273,4.952,3,usc000tgyx
20150118,33.3383333,-116.3316667,12.289,3.68,ci37306536
20150118,36.7989,-98.2708,6.003,3.1,usc000tgxs
20150119,36.2881,-96.8017,3.966,3,usc000thas
20150119,31.4533,-114.398,8,4.2,usc000th8p
20150119,36.2908,-96.811,3.947,3.4,usc000th61
20150119,36.8025,-98.1959,4.268,3.8,usc000th3e
20150119,37.2146,-97.8723,5,3.5,usc000th35
20150119,36.8175,-97.709,4.946,3.8,usc000th1v
20150120,41.8858,-119.6287,9.8,3.4,nn00478221
20150120,41.8959,-119.6526,10.7,3,nn00478214
20150120,32.8221,-96.9055,9.04,3,usc000thky
