Global Volcanism Program - Volcanoes of the World 4.8.8,,,Basic List of Holocene Volcanoes,,Downloaded on 03 Jun 2020 at 12:07 AM,,,,,,,
Volcano Number,Volcano Name,Country,Primary Volcano Type,Activity Evidence,Last Known Eruption,Region,Subregion,Latitude,Longitude,Elevation (m),Dominant Rock Type,Tectonic Setting
332000,Loihi,United States,Submarine,Eruption Observed,1996 CE,Hawaii and Pacific Ocean,Hawaiian Islands,18.92,-155.27,-975,Basalt / Picro-Basalt,Intraplate / Oceanic crust (< 15 km)
332010,Kilauea,United States,Shield,Eruption Observed,2018 CE,Hawaii and Pacific Ocean,Hawaiian Islands,19.421,-155.287,1222,Basalt / Picro-Basalt,Intraplate / Oceanic crust (< 15 km)
332020,Mauna Loa,United States,Shield,Eruption Observed,1984 CE,Hawaii and Pacific Ocean,Hawaiian Islands,19.475,-155.608,4170,Basalt / Picro-Basalt,Intraplate / Oceanic crust (< 15 km)
332030,Mauna Kea,United States,Shield,Eruption Dated,-2460,Hawaii and Pacific Ocean,Hawaiian Islands,19.82,-155.47,4205,Basalt / Picro-Basalt,Intraplate / Oceanic crust (< 15 km)
332040,Hualalai,United States,Shield,Eruption Observed,1801 CE,Hawaii and Pacific Ocean,Hawaiian Islands,19.692,-155.87,2523,Basalt / Picro-Basalt,Intraplate / Oceanic crust (< 15 km)
332060,Haleakala,United States,Shield,Eruption Dated,1750 CE,Hawaii and Pacific Ocean,Hawaiian Islands,20.708,-156.25,3055,Basalt / Picro-Basalt,Intraplate / Oceanic crust (< 15 km)
284133,Fukujin,United States,Submarine,Eruption Observed,1974 CE,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",21.93,143.47,-217,Andesite / Basaltic Andesite,Subduction zone / Crustal thickness unknown
284134,Kasuga 1,United States,Submarine,Eruption Observed,1959 CE,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",21.765,143.71,-598,Andesite / Basaltic Andesite,Subduction zone / Crustal thickness unknown
284135,Kasuga 2,United States,Submarine,Evidence Credible,Unknown,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",21.6,143.637,-274,Basalt / Picro-Basalt,Subduction zone / Crustal thickness unknown
284136,NW Eifuku,United States,Submarine,Unrest / Holocene,Unknown,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",21.485,144.043,-1535,Basalt / Picro-Basalt,Subduction zone / Crustal thickness unknown
284137,Daikoku,United States,Submarine,Unrest / Holocene,Unknown,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",21.324,144.194,-323,Andesite / Basaltic Andesite,Subduction zone / Crustal thickness unknown
284140,Farallon de Pajaros,United States,Stratovolcano,Eruption Observed,1967 CE,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",20.546,144.893,337,Andesite / Basaltic Andesite,Subduction zone / Crustal thickness unknown
284141,Ahyi,United States,Submarine,Eruption Dated,2014 CE,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",20.42,145.03,-75,Andesite / Basaltic Andesite,Subduction zone / Crustal thickness unknown
284142,Supply Reef,United States,Submarine,Eruption Dated,1989 CE,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",20.13,145.1,-8,Andesite / Basaltic Andesite,Subduction zone / Crustal thickness unknown
284143,Maug Islands,United States,Stratovolcano,Unrest / Holocene,Unknown,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",20.02,145.22,227,Basalt / Picro-Basalt,Subduction zone / Crustal thickness unknown
284150,Asuncion,United States,Stratovolcano,Eruption Observed,1906 CE,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",19.671,145.406,857,Andesite / Basaltic Andesite,Subduction zone / Crustal thickness unknown
284160,Agrigan,United States,Stratovolcano,Eruption Observed,1917 CE,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",18.77,145.67,965,Basalt / Picro-Basalt,Subduction zone / Crustal thickness unknown
284170,Pagan,United States,Stratovolcano(es),Eruption Observed,2012 CE,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",18.13,145.8,570,Basalt / Picro-Basalt,Subduction zone / Crustal thickness unknown
284180,Alamagan,United States,Stratovolcano,Eruption Dated,870 CE,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",17.6,145.83,744,Andesite / Basaltic Andesite,Subduction zone / Crustal thickness unknown
284190,Guguan,United States,Stratovolcano,Eruption Observed,1883 CE,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",17.307,145.845,287,Andesite / Basaltic Andesite,Subduction zone / Crustal thickness unknown
284191,Zealandia Bank,United States,Stratovolcano,Unrest / Holocene,Unknown,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",16.88,145.85,0,Basalt / Picro-Basalt,Subduction zone / Crustal thickness unknown
284192,Sarigan,United States,Stratovolcano,Evidence Credible,Unknown,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",16.708,145.78,538,Andesite / Basaltic Andesite,Subduction zone / Crustal thickness unknown
284193,South Sarigan Seamount,United States,Submarine,Eruption Observed,2010 CE,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",16.58,145.78,-184,No Data (checked),Subduction zone / Crustal thickness unknown
284200,Anatahan,United States,Stratovolcano,Eruption Observed,2008 CE,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",16.35,145.67,790,Andesite / Basaltic Andesite,Subduction zone / Crustal thickness unknown
284201,East Diamante,United States,Submarine,Unrest / Holocene,Unknown,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",15.93,145.67,-127,Dacite,Subduction zone / Crustal thickness unknown
284202,Ruby,United States,Submarine,Eruption Observed,1995 CE,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",15.62,145.57,-230,Basalt / Picro-Basalt,Subduction zone / Crustal thickness unknown
